Keuwl Accelerometer Data File
2019-04-23 13-21-05

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.8656030,11.207258,-4.946421,4.405331,13.018320,70.220894,336.185303
1.8756375,11.786655,-6.222530,4.762067,14.153530,70.338783,332.169067
1.8855764,12.368446,-7.358579,5.082890,15.263123,70.547958,329.249573
1.8967094,13.086706,-8.198944,5.299565,16.326969,71.059280,327.932465
1.9067094,13.995306,-8.742428,5.433641,17.373056,71.774208,328.008270
1.9176725,13.995306,-8.742428,5.433641,17.373056,71.774208,328.008270
1.9195335,14.851233,-9.135077,5.433641,18.262892,72.691078,328.404083
1.9302615,15.306131,-9.481039,5.414487,18.801182,73.262550,328.224792
1.9353340,15.243882,-9.803059,5.404911,18.912666,73.394371,327.255676
1.9467514,14.781801,-10.134656,5.413290,18.722088,73.193573,325.564789
1.9552220,14.159308,-10.427945,5.521029,18.431219,72.569565,323.629364
1.9653029,13.459004,-10.480618,5.728127,17.994432,71.438179,322.091858
1.9753765,12.659342,-10.211270,5.884948,17.296288,70.108299,321.109680
1.9852021,11.798626,-9.561244,5.955577,16.312384,68.586540,320.979767
1.9953042,10.952275,-8.592790,5.894525,15.117333,67.050583,321.883453
2.0054681,10.127473,-7.441179,5.667076,13.785956,65.727554,323.693359
2.0153890,9.297882,-6.257246,5.348647,12.418202,64.487358,326.060425
2.0251734,8.461109,-5.224148,4.983531,11.122845,63.381699,328.307556
2.0352001,7.627927,-4.332308,4.552575,9.883325,62.572109,330.405426
2.0455034,6.873753,-3.556587,4.108450,8.762257,62.038357,332.642242
2.0555966,6.168661,-2.853889,3.730166,7.753141,61.241634,335.172699
2.0658295,5.491102,-2.299631,3.441665,6.876450,59.966896,337.276459
2.0755303,4.830302,-1.905785,3.315969,6.161127,57.438251,338.468414
2.0854747,4.332308,-1.667562,3.236961,5.659290,55.112083,338.947632
2.0955079,4.220978,-1.395820,3.219004,5.488803,54.093273,341.701660
2.1055183,4.461595,-1.067814,3.503914,5.772648,52.628143,346.540314
2.1158271,4.896142,-0.909797,3.796007,6.261758,52.683273,349.473419
2.1261361,5.383362,-0.827197,3.819949,6.652582,54.955990,351.264374
2.1361537,5.767632,-0.803255,3.550601,6.820378,58.628361,352.071442
2.1458743,6.053739,-0.784101,2.942474,6.776484,64.264427,352.619934
2.1560831,6.216545,-0.814029,2.117671,6.617598,71.336708,352.539825
2.1657445,6.180632,-0.932542,1.229423,6.370347,78.872581,351.419861
2.1758251,5.914876,-1.192312,0.433351,6.049393,85.892075,348.603119
2.1859276,5.542577,-1.583764,-0.104148,5.765354,91.035072,344.052979
2.1957002,5.249287,-1.987187,-0.320823,5.621998,93.271400,339.265167
2.2058239,5.058948,-2.404976,-0.363919,5.613314,93.717171,334.574036
2.2158902,4.967968,-2.744952,-0.276530,5.682600,92.789268,331.078033
2.2263725,5.011064,-2.918532,-0.081403,5.799588,90.804230,329.782715
2.2353842,5.092467,-3.005920,0.088585,5.914104,89.141754,329.447998
2.2452915,5.104438,-3.005920,0.178368,5.926437,88.275307,329.506866
2.2553530,5.104438,-3.045424,0.202310,5.947338,88.050598,329.178741
2.2652605,5.000290,-3.023877,0.243011,5.848572,87.618645,328.836975
2.2753992,4.809951,-2.978387,0.432153,5.673903,85.631828,328.233643
2.2853849,4.663905,-2.852691,0.679953,5.509283,82.910500,328.547821
2.2958379,4.635174,-2.709039,1.039083,5.468403,79.046288,329.695740
2.3058205,4.867412,-2.622848,1.365892,5.695322,76.123672,331.681610
2.3158033,5.353435,-2.761712,1.665167,6.249728,74.547562,332.711853
2.3257856,5.789180,-3.153164,1.665167,6.799252,75.823807,331.424408
2.3358290,6.096835,-3.669114,1.895011,7.363753,75.087532,328.960205
2.3457613,6.495469,-4.346673,1.929727,8.050375,76.130783,326.210144
2.3556087,6.993463,-5.093664,1.959654,8.870975,77.237732,323.932404
2.3656061,7.507020,-5.963956,1.800440,9.755291,79.364502,321.534607
2.3754561,8.103176,-6.742072,1.537078,10.652680,81.703819,320.238586
2.3858280,8.973468,-7.143101,1.327585,11.545973,83.397385,321.479340
2.3957503,9.956287,-7.319075,1.256956,12.420807,84.191864,323.679626
2.4055018,10.813412,-7.497443,1.567005,13.251303,83.208717,325.264618
2.4157021,11.487380,-7.929596,2.232593,14.135872,80.912766,325.383148
2.4258375,12.115858,-8.295909,3.089717,15.005415,78.117409,325.599976
2.4358950,12.695254,-8.404845,4.027047,15.748905,75.184738,326.493591
2.4463880,13.251906,-8.270770,4.941632,16.384089,72.445572,328.030914
2.4560747,13.684060,-7.861362,5.755661,16.798277,69.962563,330.123047
2.4658206,14.015656,-7.109582,6.230910,16.905888,68.372887,333.103149
2.4757655,14.105439,-6.142324,6.305130,16.626673,67.714760,336.468903
2.4859335,13.801375,-5.165490,6.029797,15.922271,67.746689,339.480469
2.4960394,13.219584,-4.327519,5.448006,14.938728,68.611488,341.873779
2.5087287,11.982980,-2.820370,4.040215,12.956451,71.830429,346.755646
2.5158277,11.982980,-2.820370,4.040215,12.956451,71.830429,346.755646
2.5255973,11.367670,-2.202666,3.562572,12.114767,72.898308,349.033936
2.5356448,10.753557,-1.662773,3.254917,11.357741,73.346603,351.210236
2.5461848,10.202890,-1.102530,3.008314,10.694134,73.661888,353.832520
2.5560267,9.625888,-0.523133,2.826355,10.045877,73.659515,356.889252
2.5657902,9.070433,-0.020351,2.627636,9.443391,73.844131,359.871460
2.5758207,8.565256,0.377087,2.442086,8.914572,74.100960,2.520828
2.5856600,8.091205,0.682347,2.267309,8.430532,74.398788,4.820462
2.5958376,7.671022,0.871489,2.138022,8.010943,74.520851,6.481469
2.6059372,7.339425,0.962469,2.020706,7.673119,74.731140,7.470957
2.6169860,7.192182,1.012747,1.831564,7.490512,75.846657,8.015249
2.6258361,7.134721,1.042675,1.661576,7.399477,77.023392,8.314403
2.6360853,7.054515,0.956484,1.574188,7.291029,77.531227,7.721340
2.6458251,6.962338,0.730232,1.705869,7.205372,76.305222,5.987467
2.6559405,6.846220,0.434548,2.059013,7.162338,73.292984,3.631842
2.6647582,6.755240,0.132878,2.477999,7.196624,69.859222,1.126885
2.6778431,6.851008,0.046687,2.948459,7.458680,66.714951,0.390442
2.6848905,7.327454,0.178368,3.567361,8.151653,64.047607,1.394443
2.6947291,7.941567,0.272939,4.326323,9.047654,61.434010,1.968390
2.7050300,8.548497,0.288501,4.849455,9.832459,60.448296,1.932929
2.7149847,8.996213,0.004788,4.876989,10.233127,61.537182,0.030497
2.7255359,9.221268,-0.738611,4.656722,10.356755,63.279964,355.420471
2.7379241,9.405622,-1.752556,4.408922,10.534503,65.258682,349.445068
2.7447433,9.625888,-3.002329,4.220978,10.931072,67.285164,342.677216
2.7549319,10.096349,-4.362236,4.152743,11.756302,69.314659,336.632721
2.7648809,11.036073,-5.552154,4.191050,13.045544,71.260681,333.293427
2.7750249,12.459426,-6.479907,4.361038,14.705276,72.748726,332.521942
2.7857025,14.122199,-7.141904,4.741716,16.520508,73.320366,333.173279
2.7950165,15.836447,-7.544129,5.418078,18.359262,72.835617,334.527924
